month,gx,gy,day_type,hour,avg_total_users,avg_users_under_10min,avg_users_10_30min,avg_users_over_30min,sex_1,sex_2,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_other,city_keelung,city_taipei,city_newtaipei,city_taoyuan,city_hsinchu_city,city_hsinchu_county,city_miaoli,city_taichung,city_changhua,city_nantou,city_yunlin,city_chiayi_city,city_chiayi_county,city_tainan,city_kaohsiung,city_pingtung,city_yilan,city_hualien,city_taitung,city_penghu,city_kinmen,city_lienchiang
202412,7169,7148,假日,1,8.63,1.88,1.13,5.63,46.07,53.93,7.21,1.79,6.22,4.96,10.25,9.15,6.62,2.5,9.39,41.92,88.59,0.89,1.79,1.04,2.28,0.89,0,0,1.56,0,0,0,0,1.56,0,0,1.39,0,0,0,0,0
202412,7165,7152,假日,2,23.89,0.67,7.44,15.78,64.34,35.66,0.69,4.92,7.73,2.89,10.28,4.92,9.94,11.21,16.52,30.89,66.4,5.56,14.23,2.79,1.11,0.51,0.62,2.86,0.81,0.37,0,0,0,0.65,0.31,0,2.13,0.69,0.96,0,0,0
202412,7165,7153,假日,2,89,28.67,19.56,40.78,65.13,34.87,0.54,7.01,6.96,6.65,6.47,8.56,8.3,12.34,13.75,29.41,57.7,8.36,20.48,3.87,0.74,1.32,0.27,2.15,0.25,0.34,0.13,0,0.27,0.48,0.6,0.26,1.57,0.4,0.4,0,0,0.39
202412,7165,7154,假日,2,66.78,23.67,10.44,32.67,59.95,40.05,1.95,8.89,6.43,6.38,6.96,6.75,9.73,11.48,13.32,28.11,63.23,6.4,11.86,6.96,0.69,1.17,1,2.36,0.14,0,0.34,0,0,0.84,1.75,0,1.98,0.49,0.44,0.19,0,0.15
202412,7166,7150,假日,2,16,0.67,3.22,12.11,63.93,36.07,2.23,2.5,4.89,6.54,3.93,5.26,9.24,14.94,14.58,35.89,75.31,9.2,7.27,1.59,0,0,0,2.45,0,0,0,0,0,0,1.59,0,1.14,0.58,0,0.85,0,0
202412,7166,7151,假日,2,21.11,7.22,3.33,10.56,65.82,34.18,1.51,2.96,6.87,6.24,6.81,3.4,8.77,15.25,14.42,33.79,66.74,4,14.12,5.15,0.44,0.46,0.44,0,0.51,0.58,0.51,0,0,0.44,2.54,0,2.2,1.35,0.51,0,0,0
202412,7166,7152,假日,2,31.33,13.78,5.22,12.33,66.23,33.77,1.03,6.29,3.43,5.48,7.7,5.63,10.57,15.19,13.21,31.48,59.99,3.46,18.41,7.33,0,0.65,0,2.88,0.24,0.8,0,0,0,0.89,3.21,0,1.27,0,0.65,0.24,0,0
202412,7166,7153,假日,2,22.33,4.22,3.89,14.22,56.76,43.24,1.1,6.57,6.04,6.27,5.72,5.33,13.92,12.04,10.28,32.73,64.39,4.82,17.55,2.21,1.08,1.62,0,2,0,0,0,0,0.46,1.32,1.84,0.46,1.4,0.85,0,0,0,0
202412,7167,7149,假日,2,39.67,1.44,2.56,35.67,54.09,45.91,0.98,6.73,6.8,4.59,8.86,5.63,7.54,16.14,9.5,33.23,85.17,2.08,3.59,0.73,0.24,1.27,0,1.83,0,0,0,2.22,0,0.21,0.65,0.21,0.81,0,0.45,0.21,0,0.3
202412,7167,7150,假日,2,57,33.67,6.89,16.44,68.66,31.34,1.02,8.6,8.41,5.47,7.99,8.42,8,11.06,15.91,25.13,72.58,2.29,13.28,2.74,0.31,0.61,0.14,0.83,0.17,0,0,0,0,0.66,2.45,0.23,2.89,0,0.29,0.36,0,0.17
202412,7167,7151,假日,2,22.89,7.56,3.44,11.89,61.92,38.08,0,5.71,5.7,9.11,6.41,8.03,13.19,10.06,14.65,27.14,73.48,2.39,13.47,2.86,0,0.27,0.69,1.08,0,0.38,0,0,0,1.7,2.33,0,0.97,0.38,0,0,0,0
202412,7168,7147,假日,2,8.78,0,0.89,7.89,52.54,47.46,0.85,5.11,8.81,2.03,2.78,8.8,10.32,7.69,24.34,29.27,87.32,1.23,8.74,0,0,0.85,0,0.93,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0
202412,7168,7148,假日,2,35.56,11.22,4,20.33,55.57,44.43,0.88,3.97,5.46,6.84,12.49,5.75,8.21,13.13,11.58,31.69,82.6,5.26,7.16,1.68,0.24,0.49,0.54,0.29,0,0.47,0,0,0,0,0.54,0,0.49,0,0.24,0,0,0
202412,7168,7149,假日,2,34.44,18.44,4.56,11.44,55.74,44.26,0.71,9.55,4.82,8.62,3.16,9.41,10.62,10.5,15.77,26.85,72.88,3.9,15.14,2.8,0.52,0.94,0.23,0.73,0.22,0,0,0,0.3,0,0.93,0,0.23,0.67,0,0.21,0,0
202412,7169,7147,假日,2,10.56,2.67,0.89,7,52.37,47.63,1.01,2.4,3.72,2.4,24.41,11.89,6.4,6.84,12.19,28.74,87.69,4.21,5.41,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0.56,0,0.74,0,0,0
